Ref,Val,Package,PosX,PosY,Rot,Side
"J1","PPTC201LFBN-RC","CONN_PPTC_SUL",111.887000,-72.644000,180.000000,top
"J2","PPTC201LFBN-RC","CONN_PPTC_SUL",111.887000,-54.864000,180.000000,top
"J3","SJ1-3553NG","CUI_SJ1-3553NG",239.633000,-59.864000,180.000000,top
"S1","NCA2","SW_NCA2",115.697000,-89.535000,180.000000,top
"S2","NCA2","SW_NCA2",133.477000,-89.535000,180.000000,top
"S3","NCA2","SW_NCA2",151.257000,-89.535000,180.000000,top
"S4","NCA2","SW_NCA2",169.037000,-89.535000,180.000000,top
"S5","NCA2","SW_NCA2",186.817000,-89.535000,180.000000,top
"S6","NCA2","SW_NCA2",204.597000,-89.535000,180.000000,top
"S7","NCA2","SW_NCA2",222.377000,-89.535000,180.000000,top
"S8","NCA2","SW_NCA2",240.157000,-89.535000,180.000000,top
"U1","MCP4822-E/P","PDIP8_300MC_MCH",203.327000,-54.864000,0.000000,top
