Time (s),Temperature (C)
0,24
10,29
20,34
30,40
40,47
50,51
60,57
70,62
80,67
90,73
100,77
110,83
120,87
130,91
140,95
150,99
160,102
170,106
180,110
190,112
200,116
210,119
220,122
230,124
240,127
250,129
260,133
270,134
280,137
290,139
300,141
310,143
320,145
330,147
340,149
350,151
360,154
370,155
380,158
390,159
400,160
410,162
420,163
430,165
440,167
450,168
460,169
470,171
480,172
490,173
500,175
510,176
520,177
530,178
540,179
550,180
560,181
570,182
580,182
590,184
600,186
610,186
620,186
630,188
640,188
650,189
660,189
670,190
680,191
690,192
700,192
710,193
720,194
730,194
740,196
750,196
760,196
770,197
780,197
790,197
800,198
810,199
820,199
830,200
840,200
850,200
860,202
870,202
880,201
890,202
900,202
910,203
920,203
930,203
940,203
950,204
960,205
970,205
980,205
990,206
1000,205
1010,207
1020,206
1030,205
1040,207
1050,207
1060,208
1070,209
1080,208
1090,208
1100,209
1110,207
1120,209
1130,209
1140,209
1150,209
1160,209
1170,209
1180,209
1190,210
1200,210
