Time (s),Temperature (C),
0,24,
10,27,
20,32,
30,41,
40,53,
50,65,
60,79,
70,93,
80,106,
90,119,
100,130,
110,142,
120,152,
130,161,
140,168,
150,176,
160,182,
170,189,
180,195,
190,200,
200,205,
210,210,
220,215,
230,220,
240,225,
250,229,
260,232,
270,236,
280,240,
290,244,
300,248,
310,248,
320,243,
330,242,
340,243,
350,246,
360,249,
370,252,
380,250,
390,246,
400,245,
410,246,
420,250,
430,252,
440,249,
450,245,
460,245,
470,247,
480,251,Stopping here since it went through a few cycles
490,,
500,,
510,,
520,,
530,,
540,,
550,,
560,,
570,,
580,,
590,,
600,,
610,,
620,,
630,,
640,,
650,,
660,,
670,,
680,,
690,,
700,,
710,,
720,,
730,,
740,,
750,,
760,,
770,,
780,,
790,,
800,,
810,,
820,,
830,,
840,,
850,,
860,,
870,,
880,,
890,,
900,,
910,,
920,,
930,,
940,,
950,,
960,,
970,,
980,,
990,,
1000,,
1010,,
1020,,
1030,,
1040,,
1050,,
1060,,
1070,,
1080,,
1090,,
1100,,
1110,,
1120,,
1130,,
1140,,
1150,,
1160,,
1170,,
1180,,
1190,,
1200,,
