,Measured Temp (C),Profile
0,20.0,30
1,20.0,30
2,20.0,30
3,21.0,30
4,21.0,30
5,20.0,30
6,20.0,30
7,21.0,30
8,21.0,30
9,21.0,30
10,21.0,30
11,21.0,30
12,20.0,30
13,20.0,30
14,20.0,30
15,21.0,30
16,21.0,30
17,21.0,30
18,21.0,30
19,20.0,30
20,21.0,30
21,21.0,30
22,20.0,30
23,21.0,30
24,20.0,30
25,20.0,30
26,21.0,30
27,21.0,30
28,21.0,30
29,20.0,30
30,21.0,30
31,20.0,30
32,20.0,30
33,21.0,30
34,20.0,30
35,21.0,30
36,21.0,30
37,21.0,30
38,21.0,30
39,20.0,30
40,21.0,30
41,21.0,30
42,20.0,30
43,20.0,30
44,21.0,30
45,21.0,30
46,20.0,30
47,21.0,30
48,21.0,30
49,20.0,30
50,20.0,30
51,21.0,30
52,20.0,30
53,21.0,30
54,21.0,30
55,21.0,30
56,21.0,30
57,21.0,30
58,20.0,30
59,21.0,30
60,20.0,30
61,20.0,30
62,21.0,30
63,21.0,30
64,20.0,30
65,20.0,30
66,21.0,30
67,21.0,30
68,21.0,30
69,21.0,30
70,20.0,30
71,21.0,30
72,20.0,30
73,20.0,30
74,21.0,30
75,20.0,30
76,20.0,30
77,20.0,30
78,21.0,30
79,21.0,30
80,21.0,30
81,20.0,30
82,21.0,30
83,20.0,30
84,21.0,30
85,20.0,30
86,20.0,30
87,20.0,30
88,20.0,30
89,20.0,30
90,20.0,30
91,20.0,30
92,20.0,30
93,20.0,30
94,20.0,30
95,21.0,30
96,21.0,30
97,20.0,30
98,20.0,30
99,21.0,30
100,21.0,30
101,20.0,30
102,20.0,30
103,21.0,30
104,21.0,30
105,21.0,30
106,21.0,30
107,20.0,30
108,21.0,30
109,21.0,30
110,21.0,30
111,20.0,30
112,20.0,30
113,20.0,30
114,21.0,30
115,21.0,30
116,21.0,30
117,20.0,30
118,20.0,30
119,21.0,30
120,20.0,30
121,20.0,30
122,21.0,30
123,21.0,30
124,21.0,30
125,21.0,30
126,21.0,30
127,21.0,30
128,20.0,30
129,21.0,30
130,20.0,30
131,21.0,30
132,20.0,30
133,21.0,30
134,21.0,30
135,20.0,30
136,20.0,30
137,20.0,30
138,20.0,30
139,20.0,30
140,21.0,30
141,20.0,30
142,21.0,30
143,21.0,30
144,21.0,30
145,21.0,30
146,21.0,30
147,21.0,30
148,21.0,30
149,21.0,30
150,21.0,30
151,20.0,30
152,21.0,30
153,20.0,30
154,21.0,30
155,20.0,30
156,21.0,30
157,20.0,30
158,20.0,30
159,20.0,30
160,21.0,30
161,21.0,30
162,21.0,30
163,20.0,30
164,20.0,30
165,20.0,30
166,20.0,30
167,21.0,30
168,20.0,30
169,20.0,30
170,21.0,30
171,20.0,30
172,20.0,30
173,21.0,30
174,20.0,30
175,20.0,30
176,20.0,30
177,21.0,30
178,21.0,30
179,20.0,30
180,21.0,30
181,21.0,30
182,20.0,30
183,21.0,30
184,20.0,30
185,20.0,30
186,20.0,30
187,21.0,30
188,20.0,30
189,21.0,30
190,20.0,30
191,21.0,30
192,20.0,30
193,21.0,30
194,20.0,30
195,21.0,30
196,21.0,30
197,21.0,30
198,20.0,30
199,21.0,30
200,21.0,30
201,21.0,30
202,21.0,30
203,21.0,30
204,20.0,30
205,21.0,30
206,20.0,30
207,20.0,30
208,21.0,30
209,19.0,30
210,21.0,30
211,20.0,30
212,21.0,30
213,21.0,30
214,20.0,30
215,20.0,30
216,20.0,30
217,21.0,30
218,20.0,30
219,21.0,30
220,21.0,30
221,21.0,30
222,21.0,30
223,20.0,30
224,20.0,30
225,20.0,30
226,20.0,30
227,21.0,30
228,20.0,30
229,21.0,30
230,21.0,30
231,21.0,30
232,20.0,30
233,21.0,30
234,20.0,30
235,21.0,30
236,21.0,30
237,20.0,30
238,21.0,30
239,20.0,30
240,20.0,30
241,21.0,30
242,20.0,30
243,20.0,30
244,20.0,30
245,21.0,30
246,20.0,30
247,21.0,30
248,20.0,30
249,21.0,30
250,21.0,30
251,20.0,30
252,20.0,30
253,20.0,30
254,20.0,30
255,21.0,30
256,20.0,30
257,20.0,30
258,20.0,30
259,20.0,30
260,20.0,30
261,21.0,30
262,20.0,30
263,21.0,30
264,21.0,30
265,20.0,30
266,20.0,30
267,21.0,30
268,20.0,30
269,21.0,30
270,20.0,30
271,20.0,30
272,21.0,30
273,21.0,30
274,20.0,30
275,21.0,30
276,21.0,30
277,20.0,30
278,21.0,30
279,21.0,30
280,20.0,30
281,21.0,30
282,20.0,30
283,20.0,30
284,20.0,30
285,20.0,30
286,20.0,30
287,21.0,30
288,21.0,30
289,20.0,30
290,21.0,30
291,20.0,30
292,20.0,30
293,21.0,30
294,20.0,30
295,20.0,30
296,20.0,30
297,21.0,30
298,21.0,30
299,20.0,30
300,21.0,30
301,21.0,30
302,21.0,30
303,20.0,30
304,21.0,30
305,21.0,30
306,20.0,30
307,21.0,30
308,20.0,30
309,20.0,30
310,20.0,30
311,21.0,30
312,20.0,30
313,20.0,30
314,21.0,30
315,20.0,30
316,20.0,30
317,21.0,30
318,20.0,30
319,21.0,30
320,21.0,30
321,20.0,30
322,20.0,30
323,21.0,30
324,21.0,30
325,21.0,30
326,20.0,30
327,20.0,30
328,20.0,30
329,21.0,30
330,20.0,30
331,21.0,30
332,20.0,30
333,21.0,30
334,20.0,30
335,21.0,30
336,20.0,30
337,20.0,30
338,20.0,30
339,20.0,30
340,20.0,30
341,20.0,30
342,21.0,30
343,20.0,30
344,21.0,30
345,21.0,30
346,21.0,30
347,20.0,30
348,21.0,30
349,21.0,30
350,21.0,30
351,20.0,30
352,20.0,30
353,20.0,30
354,20.0,30
355,21.0,30
356,20.0,30
357,20.0,30
358,20.0,30
359,21.0,30
360,21.0,30
361,21.0,30
362,20.0,30
363,20.0,30
364,20.0,30
365,20.0,30
366,21.0,30
367,20.0,30
368,21.0,30
369,21.0,30
370,21.0,30
371,21.0,30
372,20.0,30
373,20.0,30
374,21.0,30
375,21.0,30
376,21.0,30
377,21.0,30
378,20.0,30
379,20.0,30
380,21.0,30
381,21.0,30
382,20.0,30
383,20.0,30
384,20.0,30
385,20.0,30
386,20.0,30
387,20.0,30
388,21.0,30
389,21.0,30
390,21.0,30
391,21.0,30
392,21.0,30
393,20.0,30
394,20.0,30
395,21.0,30
396,20.0,30
397,20.0,30
398,21.0,30
399,21.0,30
400,20.0,30
401,21.0,30
402,20.0,30
